Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeenshire,2014-15,9597,11711,Environmental Services,Waste Collection,15
Aberdeenshire,2014-15,15506,18921,Environmental Services,Waste Disposal,15
Aberdeenshire,2014-15,4191,5114,Looked After Children,Community,15
Aberdeenshire,2014-15,10220,12471,Looked After Children,Residential,15
Aberdeenshire,2014-15,5694,6948,Planning,Planning,15
Aberdeenshire,2014-15,43982,53668,Roads,Roads,15
Aberdeenshire,2014-15,31793,38795,Support Services,Support Services,15
Aberdeenshire,2014-15,619253,755635,Total General Fund,Total General Fund,15
Aberdeenshire,2015-16,31091,37667,Adult Social Care,Care Homes for Older People,16
Aberdeenshire,2015-16,20450,24776,Adult Social Care,Homecare,16
Aberdeenshire,2015-16,75311,91241,Adult Social Care,Other Spend On Over 18s,16
Aberdeenshire,2015-16,4652,5636,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
Aberdeenshire,2015-16,4041,4896,Culture & Leisure,Libraries,16
Aberdeenshire,2015-16,1165,1411,Culture & Leisure,Museums & Galleries,16
Aberdeenshire,2015-16,10949,13265,Culture & Leisure,Sports Facilities,16
Aberdeenshire,2015-16,11142,13499,Economic Development,Economic Development & Tourism,16
Aberdeenshire,2015-16,17743,21496,Education,Pre-school,16
Aberdeenshire,2015-16,104964,127166,Education,Primary,16
Aberdeenshire,2015-16,97706,118373,Education,Secondary,16
Aberdeenshire,2015-16,1978,2396,Environmental Services,Street cleaning,16
Aberdeenshire,2015-16,6034,7310,Environmental Services,Trading Standards & Env. Health,16
Aberdeenshire,2015-16,8303,10059,Environmental Services,Waste Collection,16
Aberdeenshire,2015-16,16805,20360,Environmental Services,Waste Disposal,16
Aberdeenshire,2015-16,4696,5689,Looked After Children,Community,16
Aberdeenshire,2015-16,7165,8681,Looked After Children,Residential,16
Aberdeenshire,2015-16,6567,7956,Planning,Planning,16
Aberdeenshire,2015-16,54802,66394,Roads,Roads,16
Aberdeenshire,2015-16,38373,46490,Support Services,Support Services,16
Aberdeenshire,2015-16,648395,785544,Total General Fund,Total General Fund,16
Aberdeenshire,2016-17,33626,39833,Adult Social Care,Care Homes for Older People,17
Aberdeenshire,2016-17,20378,24139,Adult Social Care,Homecare,17
Aberdeenshire,2016-17,80816,95733,Adult Social Care,Other Spend On Over 18s,17
Aberdeenshire,2016-17,4880,5781,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
Aberdeenshire,2016-17,3958,4689,Culture & Leisure,Libraries,17
Aberdeenshire,2016-17,1199,1420,Culture & Leisure,Museums & Galleries,17
Aberdeenshire,2016-17,15103,17891,Culture & Leisure,Sports Facilities,17
Aberdeenshire,2016-17,7545,8938,Economic Development,Economic Development & Tourism,17
Aberdeenshire,2016-17,18849,22328,Education,Pre-school,17
Aberdeenshire,2016-17,107842,127747,Education,Primary,17
Aberdeenshire,2016-17,100652,119230,Education,Secondary,17
Aberdeenshire,2016-17,2118,2509,Environmental Services,Street cleaning,17
Aberdeenshire,2016-17,5807,6879,Environmental Services,Trading Standards & Env. Health,17
Aberdeenshire,2016-17,8957,10610,Environmental Services,Waste Collection,17
Aberdeenshire,2016-17,16326,19339,Environmental Services,Waste Disposal,17
Aberdeenshire,2016-17,5319,6301,Looked After Children,Community,17
Aberdeenshire,2016-17,7116,8429,Looked After Children,Residential,17
Aberdeenshire,2016-17,6812,8069,Planning,Planning,17
Aberdeenshire,2016-17,45229,53577,Roads,Roads,17
Aberdeenshire,2016-17,37290,44173,Support Services,Support Services,17
Aberdeenshire,2016-17,661147,783180,Total General Fund,Total General Fund,17
Aberdeenshire,2017-18,33430,38990,Adult Social Care,Care Homes for Older People,18
Aberdeenshire,2017-18,22644,26410,Adult Social Care,Homecare,18
Aberdeenshire,2017-18,87158,101653,Adult Social Care,Other Spend On Over 18s,18
Aberdeenshire,2017-18,5593,6523,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
Aberdeenshire,2017-18,3226,3763,Culture & Leisure,Libraries,18
Aberdeenshire,2017-18,1029,1200,Culture & Leisure,Museums & Galleries,18
Aberdeenshire,2017-18,11228,13095,Culture & Leisure,Sports Facilities,18
Aberdeenshire,2017-18,9296,10842,Economic Development,Economic Development & Tourism,18
Aberdeenshire,2017-18,19059,22229,Education,Pre-school,18
Aberdeenshire,2017-18,109987,128279,Education,Primary,18
Aberdeenshire,2017-18,101275,118118,Education,Secondary,18
Aberdeenshire,2017-18,2661,3104,Environmental Services,Street cleaning,18
Aberdeenshire,2017-18,4847,5653,Environmental Services,Trading Standards & Env. Health,18
Aberdeenshire,2017-18,9027,10528,Environmental Services,Waste Collection,18
Aberdeenshire,2017-18,15800,18428,Environmental Services,Waste Disposal,18
Aberdeenshire,2017-18,5512,6429,Looked After Children,Community,18
Aberdeenshire,2017-18,8030,9365,Looked After Children,Residential,18
Aberdeenshire,2017-18,6950,8106,Planning,Planning,18
Aberdeenshire,2017-18,47122,54959,Roads,Roads,18
Aberdeenshire,2017-18,32872,38339,Support Services,Support Services,18
Aberdeenshire,2017-18,670862,782434,Total General Fund,Total General Fund,18
Aberdeenshire,2018-19,40193,45909,Adult Social Care,Care Homes for Older People,19
Aberdeenshire,2018-19,22689,25916,Adult Social Care,Homecare,19
Aberdeenshire,2018-19,83441,95308,Adult Social Care,Other Spend On Over 18s,19
Aberdeenshire,2018-19,5899,6738,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
Aberdeenshire,2018-19,3535,4038,Culture & Leisure,Libraries,19
Aberdeenshire,2018-19,1076,1229,Culture & Leisure,Museums & Galleries,19
Aberdeenshire,2018-19,11429,13054,Culture & Leisure,Sports Facilities,19
Aberdeenshire,2018-19,8919,10187,Economic Development,Economic Development & Tourism,19
Aberdeenshire,2018-19,21235,24255,Education,Pre-school,19
Aberdeenshire,2018-19,113667,129832,Education,Primary,19
Aberdeenshire,2018-19,103591,118323,Education,Secondary,19
Aberdeenshire,2018-19,2582,2949,Environmental Services,Street cleaning,19
Aberdeenshire,2018-19,5117,5845,Environmental Services,Trading Standards & Env. Health,19
Aberdeenshire,2018-19,9125,10423,Environmental Services,Waste Collection,19
Aberdeenshire,2018-19,16373,18702,Environmental Services,Waste Disposal,19
Aberdeenshire,2018-19,5984,6835,Looked After Children,Community,19
Aberdeenshire,2018-19,8625,9852,Looked After Children,Residential,19
Aberdeenshire,2018-19,6391,7300,Planning,Planning,19
Aberdeenshire,2018-19,42527,48575,Roads,Roads,19
Aberdeenshire,2018-19,29938,34196,Support Services,Support Services,19
Aberdeenshire,2018-19,683677,780908,Total General Fund,Total General Fund,19
Aberdeenshire,2019-20,45972.0167848755,51299,Adult Social Care,Care Homes for Older People,20
Aberdeenshire,2019-20,23091,25767,Adult Social Care,Homecare,20
Aberdeenshire,2019-20,88944.9832151245,99251,Adult Social Care,Other Spend On Over 18s,20
Aberdeenshire,2019-20,5803,6475,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
Aberdeenshire,2019-20,3903,4355,Culture & Leisure,Libraries,20
Aberdeenshire,2019-20,1176,1312,Culture & Leisure,Museums & Galleries,20
Aberdeenshire,2019-20,12633,14097,Culture & Leisure,Sports Facilities,20
Aberdeenshire,2019-20,35924,40087,Economic Development,Economic Development & Tourism,20
Aberdeenshire,2019-20,30099,33587,Education,Pre-school,20
Aberdeenshire,2019-20,119965,133866,Education,Primary,20
Aberdeenshire,2019-20,115383,128753,Education,Secondary,20
Aberdeenshire,2019-20,2759,3079,Environmental Services,Street cleaning,20
Aberdeenshire,2019-20,4755,5306,Environmental Services,Trading Standards & Env. Health,20
Aberdeenshire,2019-20,9451,10546,Environmental Services,Waste Collection,20
Aberdeenshire,2019-20,16471,18380,Environmental Services,Waste Disposal,20
Aberdeenshire,2019-20,6927,7730,Looked After Children,Community,20
Aberdeenshire,2019-20,9606,10719,Looked After Children,Residential,20
Aberdeenshire,2019-20,5937,6625,Planning,Planning,20
Aberdeenshire,2019-20,49194,54894,Roads,Roads,20
Aberdeenshire,2019-20,21992,24540,Support Services,Support Services,20
Aberdeenshire,2019-20,736855,822236,Total General Fund,Total General Fund,20
Aberdeenshire,2020-21,47111.8301016069,51377,Adult Social Care,Care Homes for Older People,21
Aberdeenshire,2020-21,26789,29214,Adult Social Care,Homecare,21
Aberdeenshire,2020-21,99836.1698983931,108874,Adult Social Care,Other Spend On Over 18s,21
Aberdeenshire,2020-21,3980,4340,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
Aberdeenshire,2020-21,3813,4158,Culture & Leisure,Libraries,21
Aberdeenshire,2020-21,952,1038,Culture & Leisure,Museums & Galleries,21
Aberdeenshire,2020-21,8954,9765,Culture & Leisure,Sports Facilities,21
Aberdeenshire,2020-21,38482,41966,Economic Development,Economic Development & Tourism,21
Aberdeenshire,2020-21,33780,36838,Education,Pre-school,21
Aberdeenshire,2020-21,127370,138901,Education,Primary,21
Aberdeenshire,2020-21,118990,129762,Education,Secondary,21
Aberdeenshire,2020-21,2706,2951,Environmental Services,Street cleaning,21
Aberdeenshire,2020-21,4884,5326,Environmental Services,Trading Standards & Env. Health,21
Aberdeenshire,2020-21,9441,10296,Environmental Services,Waste Collection,21
Aberdeenshire,2020-21,16668,18177,Environmental Services,Waste Disposal,21
Aberdeenshire,2020-21,7432,8105,Looked After Children,Community,21
Aberdeenshire,2020-21,9247,10084,Looked After Children,Residential,21
Aberdeenshire,2020-21,6008,6552,Planning,Planning,21
Aberdeenshire,2020-21,21563,23515,Roads,Roads,21
Aberdeenshire,2020-21,25721,28050,Support Services,Support Services,21
Aberdeenshire,2020-21,755191,823559,Total General Fund,Total General Fund,21
Aberdeenshire,2021-22,35243,37561,Adult Social Care,Care Homes for Older People,22
Aberdeenshire,2021-22,26438,28177,Adult Social Care,Homecare,22
Aberdeenshire,2021-22,118390,126176,Adult Social Care,Other Spend On Over 18s,22
Aberdeenshire,2021-22,5287,5635,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
Aberdeenshire,2021-22,3292,3508,Culture & Leisure,Libraries,22
Aberdeenshire,2021-22,1032,1100,Culture & Leisure,Museums & Galleries,22
Aberdeenshire,2021-22,10936,11655,Culture & Leisure,Sports Facilities,22
Aberdeenshire,2021-22,43523,46385,Economic Development,Economic Development & Tourism,22
Aberdeenshire,2021-22,40823,43508,Education,Pre-school,22
Aberdeenshire,2021-22,129220,137718,Education,Primary,22
Aberdeenshire,2021-22,123074,131168,Education,Secondary,22
Aberdeenshire,2021-22,2859,3047,Environmental Services,Street cleaning,22
Aberdeenshire,2021-22,5424,5781,Environmental Services,Trading Standards & Env. Health,22
Aberdeenshire,2021-22,9499,10124,Environmental Services,Waste Collection,22
Aberdeenshire,2021-22,16022,17076,Environmental Services,Waste Disposal,22
Aberdeenshire,2021-22,7281,7760,Looked After Children,Community,22
Aberdeenshire,2021-22,9798,10442,Looked After Children,Residential,22
Aberdeenshire,2021-22,6494,6921,Planning,Planning,22
Aberdeenshire,2021-22,31361,33423,Roads,Roads,22
Aberdeenshire,2021-22,25390,27060,Support Services,Support Services,22
Aberdeenshire,2021-22,783390,834909,Total General Fund,Total General Fund,22
Aberdeenshire,2022-23,43585,43585,Adult Social Care,Care Homes for Older People,23
Aberdeenshire,2022-23,27127,27127,Adult Social Care,Homecare,23
Aberdeenshire,2022-23,131311,131311,Adult Social Care,Other Spend On Over 18s,23
Aberdeenshire,2022-23,6434,6434,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
Aberdeenshire,2022-23,3920,3920,Culture & Leisure,Libraries,23
Aberdeenshire,2022-23,1333,1333,Culture & Leisure,Museums & Galleries,23
Aberdeenshire,2022-23,13947,13947,Culture & Leisure,Sports Facilities,23
Aberdeenshire,2022-23,12776,12776,Economic Development,Economic Development & Tourism,23
Aberdeenshire,2022-23,46686,46686,Education,Pre-school,23
Aberdeenshire,2022-23,130900,130900,Education,Primary,23
Aberdeenshire,2022-23,130733,130733,Education,Secondary,23
Aberdeenshire,2022-23,3052,3052,Environmental Services,Street cleaning,23
Aberdeenshire,2022-23,5547,5547,Environmental Services,Trading Standards & Env. Health,23
Aberdeenshire,2022-23,10923,10923,Environmental Services,Waste Collection,23
Aberdeenshire,2022-23,15771,15771,Environmental Services,Waste Disposal,23
Aberdeenshire,2022-23,7654,7654,Looked After Children,Community,23
Aberdeenshire,2022-23,9485,9485,Looked After Children,Residential,23
Aberdeenshire,2022-23,6294,6294,Planning,Planning,23
Aberdeenshire,2022-23,43226,43226,Roads,Roads,23
Aberdeenshire,2022-23,26175,26175,Support Services,Support Services,23
Aberdeenshire,2022-23,816986,816986,Total General Fund,Total General Fund,23
Angus,2010-11,16916,22067,Adult Social Care,Care Homes for Older People,11
Angus,2010-11,6439,8400,Adult Social Care,Homecare,11
Angus,2010-11,30905,40316,Adult Social Care,Other Spend On Over 18s,11
Angus,2010-11,3479,4538,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Angus,2010-11,2003,2613,Culture & Leisure,Libraries,11
Angus,2010-11,994,1297,Culture & Leisure,Museums & Galleries,11
Angus,2010-11,5927,7732,Culture & Leisure,Sports Facilities,11
Angus,2010-11,3126,4078,Economic Development,Economic Development & Tourism,11
Angus,2010-11,4338,5659,Education,Pre-school,11
Angus,2010-11,39472,51492,Education,Primary,11
Angus,2010-11,42979,56067,Education,Secondary,11
Angus,2010-11,1809,2360,Environmental Services,Street cleaning,11
Angus,2010-11,3210,4188,Environmental Services,Trading Standards & Env. Health,11
Angus,2010-11,4367,5697,Environmental Services,Waste Collection,11
Angus,2010-11,5993,7818,Environmental Services,Waste Disposal,11
Angus,2010-11,4286,5591,Looked After Children,Community,11
Angus,2010-11,2324,3032,Looked After Children,Residential,11
Angus,2010-11,2138,2789,Planning,Planning,11
Angus,2010-11,12860,16776,Roads,Roads,11
Angus,2010-11,7428,9690,Support Services,Support Services,11
Angus,2010-11,285961,373044,Total General Fund,Total General Fund,11
Angus,2011-12,17062,21872,Adult Social Care,Care Homes for Older People,12
Angus,2011-12,7413,9503,Adult Social Care,Homecare,12
Angus,2011-12,29693,38064,Adult Social Care,Other Spend On Over 18s,12
Angus,2011-12,5500,7051,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
Angus,2011-12,1909,2447,Culture & Leisure,Libraries,12
Angus,2011-12,983,1260,Culture & Leisure,Museums & Galleries,12
Angus,2011-12,5547,7111,Culture & Leisure,Sports Facilities,12
Angus,2011-12,3278,4202,Economic Development,Economic Development & Tourism,12
Angus,2011-12,4232,5425,Education,Pre-school,12
Angus,2011-12,39305,50386,Education,Primary,12
Angus,2011-12,42662,54690,Education,Secondary,12
Angus,2011-12,1709,2191,Environmental Services,Street cleaning,12
Angus,2011-12,3248,4164,Environmental Services,Trading Standards & Env. Health,12
Angus,2011-12,4332,5553,Environmental Services,Waste Collection,12
Angus,2011-12,4888,6266,Environmental Services,Waste Disposal,12
Angus,2011-12,4438,5689,Looked After Children,Community,12
Angus,2011-12,2832,3630,Looked After Children,Residential,12
Angus,2011-12,2085,2673,Planning,Planning,12
Angus,2011-12,14026,17980,Roads,Roads,12
Angus,2011-12,14389,18446,Support Services,Support Services,12
Angus,2011-12,285361,365814,Total General Fund,Total General Fund,12
Angus,2012-13,15604,19643,Adult Social Care,Care Homes for Older People,13
Angus,2012-13,7616,9587,Adult Social Care,Homecare,13
Angus,2012-13,31177,39247,Adult Social Care,Other Spend On Over 18s,13
Angus,2012-13,3124,3933,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
Angus,2012-13,1795,2260,Culture & Leisure,Libraries,13
Angus,2012-13,812,1022,Culture & Leisure,Museums & Galleries,13
Angus,2012-13,5495,6917,Culture & Leisure,Sports Facilities,13
Angus,2012-13,2891,3639,Economic Development,Economic Development & Tourism,13
Angus,2012-13,4184,5267,Education,Pre-school,13
Angus,2012-13,38775,48811,Education,Primary,13
Angus,2012-13,42113,53013,Education,Secondary,13
Angus,2012-13,1698,2137,Environmental Services,Street cleaning,13
Angus,2012-13,3690,4645,Environmental Services,Trading Standards & Env. Health,13
Angus,2012-13,5287,6655,Environmental Services,Waste Collection,13
Angus,2012-13,5027,6328,Environmental Services,Waste Disposal,13
Angus,2012-13,3935,4953,Looked After Children,Community,13
Angus,2012-13,3103,3906,Looked After Children,Residential,13
Angus,2012-13,2044,2573,Planning,Planning,13
Angus,2012-13,16284,20499,Roads,Roads,13
Angus,2012-13,15310,19273,Support Services,Support Services,13
Angus,2012-13,285142,358945,Total General Fund,Total General Fund,13
Angus,2013-14,15742,19443,Adult Social Care,Care Homes for Older People,14
Angus,2013-14,8624,10651,Adult Social Care,Homecare,14
Angus,2013-14,31222,38562,Adult Social Care,Other Spend On Over 18s,14
Angus,2013-14,3307,4084,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
Angus,2013-14,1868,2307,Culture & Leisure,Libraries,14
Angus,2013-14,837,1034,Culture & Leisure,Museums & Galleries,14
Angus,2013-14,5889,7273,Culture & Leisure,Sports Facilities,14
Angus,2013-14,2926,3614,Economic Development,Economic Development & Tourism,14
Angus,2013-14,3983,4919,Education,Pre-school,14
Angus,2013-14,38736,47842,Education,Primary,14
Angus,2013-14,41025,50669,Education,Secondary,14
Angus,2013-14,1699,2098,Environmental Services,Street cleaning,14
Angus,2013-14,3234,3994,Environmental Services,Trading Standards & Env. Health,14
Angus,2013-14,6176,7628,Environmental Services,Waste Collection,14
Angus,2013-14,5362,6623,Environmental Services,Waste Disposal,14
Angus,2013-14,4054,5007,Looked After Children,Community,14
Angus,2013-14,3598,4444,Looked After Children,Residential,14
Angus,2013-14,2151,2657,Planning,Planning,14
Angus,2013-14,14033,17332,Roads,Roads,14
