Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeen City,2022-23,5732,5732,Environmental Services,Trading Standards & Env. Health,23
Aberdeen City,2022-23,8928,8928,Environmental Services,Waste Collection,23
Aberdeen City,2022-23,16732,16732,Environmental Services,Waste Disposal,23
Aberdeen City,2022-23,13758,13758,Looked After Children,Community,23
Aberdeen City,2022-23,11798,11798,Looked After Children,Residential,23
Aberdeen City,2022-23,4441,4441,Planning,Planning,23
Aberdeen City,2022-23,84165,84165,Roads,Roads,23
Aberdeen City,2022-23,21157,21157,Support Services,Support Services,23
Aberdeen City,2022-23,718333,718333,Total General Fund,Total General Fund,23
Aberdeenshire,2010-11,27272,35577,Adult Social Care,Care Homes for Older People,11
Aberdeenshire,2010-11,15125,19731,Adult Social Care,Homecare,11
Aberdeenshire,2010-11,75936,99061,Adult Social Care,Other Spend On Over 18s,11
Aberdeenshire,2010-11,5064,6606,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Aberdeenshire,2010-11,3913,5105,Culture & Leisure,Libraries,11
Aberdeenshire,2010-11,1977,2579,Culture & Leisure,Museums & Galleries,11
Aberdeenshire,2010-11,8949,11674,Culture & Leisure,Sports Facilities,11
Aberdeenshire,2010-11,6220,8114,Economic Development,Economic Development & Tourism,11
Aberdeenshire,2010-11,11366,14827,Education,Pre-school,11
Aberdeenshire,2010-11,92621,120827,Education,Primary,11
Aberdeenshire,2010-11,98627,128662,Education,Secondary,11
Aberdeenshire,2010-11,2244,2927,Environmental Services,Street cleaning,11
Aberdeenshire,2010-11,6229,8126,Environmental Services,Trading Standards & Env. Health,11
Aberdeenshire,2010-11,8331,10868,Environmental Services,Waste Collection,11
Aberdeenshire,2010-11,14627,19081,Environmental Services,Waste Disposal,11
Aberdeenshire,2010-11,4736,6178,Looked After Children,Community,11
Aberdeenshire,2010-11,8477,11058,Looked After Children,Residential,11
Aberdeenshire,2010-11,5569,7265,Planning,Planning,11
Aberdeenshire,2010-11,35836,46749,Roads,Roads,11
Aberdeenshire,2010-11,29229,38130,Support Services,Support Services,11
Aberdeenshire,2010-11,596890,778659,Total General Fund,Total General Fund,11
Aberdeenshire,2011-12,30005,38464,Adult Social Care,Care Homes for Older People,12
Aberdeenshire,2011-12,17071,21884,Adult Social Care,Homecare,12
Aberdeenshire,2011-12,61101,78327,Adult Social Care,Other Spend On Over 18s,12
Aberdeenshire,2011-12,4318,5535,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
Aberdeenshire,2011-12,4228,5420,Culture & Leisure,Libraries,12
Aberdeenshire,2011-12,1652,2118,Culture & Leisure,Museums & Galleries,12
Aberdeenshire,2011-12,8739,11203,Culture & Leisure,Sports Facilities,12
Aberdeenshire,2011-12,8108,10394,Economic Development,Economic Development & Tourism,12
Aberdeenshire,2011-12,11157,14303,Education,Pre-school,12
Aberdeenshire,2011-12,87242,111839,Education,Primary,12
Aberdeenshire,2011-12,88449,113386,Education,Secondary,12
Aberdeenshire,2011-12,2178,2792,Environmental Services,Street cleaning,12
Aberdeenshire,2011-12,5453,6990,Environmental Services,Trading Standards & Env. Health,12
Aberdeenshire,2011-12,8165,10467,Environmental Services,Waste Collection,12
Aberdeenshire,2011-12,13681,17538,Environmental Services,Waste Disposal,12
Aberdeenshire,2011-12,4690,6012,Looked After Children,Community,12
Aberdeenshire,2011-12,7136,9148,Looked After Children,Residential,12
Aberdeenshire,2011-12,5070,6499,Planning,Planning,12
Aberdeenshire,2011-12,35554,45578,Roads,Roads,12
Aberdeenshire,2011-12,27311,35011,Support Services,Support Services,12
Aberdeenshire,2011-12,553388,709407,Total General Fund,Total General Fund,12
Aberdeenshire,2012-13,29608,37271,Adult Social Care,Care Homes for Older People,13
Aberdeenshire,2012-13,13968,17583,Adult Social Care,Homecare,13
Aberdeenshire,2012-13,66100,83209,Adult Social Care,Other Spend On Over 18s,13
Aberdeenshire,2012-13,4177,5258,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
